"t" "age" "educ" "black" "hisp" "married" "nodegree" "moa" "re74" "re75" "re78" "reo74" "reo75"
"1" 1 37 11 1 0 1 1 13 0 0 9930.0498046875 1 1
"2" 1 22 9 0 1 0 1 13 0 0 3595.88989257812 1 1
"3" 1 30 12 1 0 0 0 13 0 0 24909.5 1 1
"4" 1 27 11 1 0 0 1 13 0 0 7506.14990234375 1 1
"5" 1 33 8 1 0 0 1 13 0 0 289.790008544922 1 1
"6" 1 22 9 1 0 0 1 13 0 0 4056.48999023438 1 1
"7" 1 23 12 1 0 0 0 6 0 0 0 1 1
"8" 1 32 11 1 0 0 1 6 0 0 8472.16015625 1 1
"9" 1 22 16 1 0 0 0 14 0 0 2164.02001953125 1 1
"10" 1 33 12 0 0 1 0 13 0 0 12418.099609375 1 1
"11" 1 19 9 1 0 0 1 14 0 0 8173.91015625 1 1
"12" 1 21 13 1 0 0 0 14 0 0 17094.599609375 1 1
"13" 1 18 8 1 0 0 1 15 0 0 0 1 1
"14" 1 27 10 1 0 1 1 15 0 0 18739.900390625 1 1
"15" 1 17 7 1 0 0 1 15 0 0 3023.8798828125 1 1
"16" 1 19 10 1 0 0 1 13 0 0 3228.5 1 1
"17" 1 27 13 1 0 0 0 6 0 0 14581.900390625 1 1
"18" 1 23 10 1 0 0 1 13 0 0 7693.39990234375 1 1
"19" 1 40 12 1 0 0 0 15 0 0 10804.2998046875 1 1
"20" 1 26 12 1 0 0 0 21 0 0 10747.400390625 1 1
"21" 1 23 11 1 0 0 1 6 0 0 0 1 1
"22" 1 41 14 0 0 0 0 14 0 0 5149.5 1 1
"23" 1 38 9 0 0 0 1 6 0 0 6408.9501953125 1 1
"24" 1 24 11 1 0 0 1 6 0 0 1991.40002441406 1 1
"25" 1 18 10 1 0 0 1 15 0 0 11163.2001953125 1 1
"26" 1 29 11 1 0 1 1 6 0 0 9643 1 1
"27" 1 25 11 1 0 0 1 13 0 0 9897.0498046875 1 1
"28" 1 27 10 0 1 0 1 13 0 0 11142.900390625 1 1
"29" 1 17 10 1 0 0 1 14 0 0 16218 1 1
"30" 1 24 11 1 0 0 1 15 0 0 995.700012207031 1 1
"31" 1 17 10 1 0 0 1 6 0 0 0 1 1
"32" 1 48 4 1 0 0 1 14 0 0 6551.58984375 1 1
